review,sentiment
"Haleem, the best place to try out.
Avaialble in all multiple outlets.
Haleem, usually found in the Ramdan season, months of march to July served by Shah ghouse and badam kheer are must try",1
"I bought this SD card for use with my cell phone. It worked really well and as far as I could tell, transfers the data at a fast rate. No complaints.",1
"I have visited this pub last weekend with group of friends, we had brewed beers, veg & non-veg starters. Food tastes good, prices are reasonable, ambience is decent, service is good even though it’s on Saturday night.

Overall i liked the place, I will visit again!!",1
"Frio bistro is a fine-dining restaurant with classy interiors which was painted full of black color which brings the elagance to the place. The bar set-up was small,quirky & the inverted glasses tied up with the ceiling made it look beautiful. This place offers italian,Indian & Continental as well.
.
I visited this place yesterday for a quick lunch & ordered two main course dishes. The first dish was belly dance pizza which is a 12"" thin crust pizza topped with Arabian shawarma peices,capsicum which had that earthy flavor in it . The chicken pieces were juicy & tender. The whole pizza tasted delicious with it's toppings. The other dish we ordered was spinach & cream cheese ravioli. Pasta was hand -made by the chef added with Italian styled tomato salsa & fresh parmesan cheese . Ravioli was stuffed with spinach which wasn't up to the mark. After having pasta, I felt like I should have ordered the white -sauce variant.
.
And,service was a bit late. If you are in a hurry, the service might create a problem for you.",1
"Place looked good when entering but that was it, it went downhill from there. It took three people from their staff one after the other to confirm what we had ordered and it was only one dish. We had to wait for 25-30 minutes for the order only to realise they had served it to somebody else. This was when there were only 5 tables occupied. The staff seemed inexperienced.
The toilet's location is just bad. Whenever somebody opens the toilet door the whole place stinks up like piss.
We just gave up on the place and left paying for the drinks that they had managed to serve.
The owners and managers really need to look into the problems.",0
Had been there twice. Everytime had a wonderfyl experience. Good ambience and very friendly staffs. The chef himself turn to us asking for any special items to be ordered. Great service.,1
Put this in my cell phone and loaded it up. It works like a charm and have had no problems what so ever with it. It worked right out of the box. I would buy another one if needed.,1
"We went for lunch and ordered two sizzlers, veg and non veg. Both were not up to the mark. Taste was not good and portion size was less. Not enough veggies in the dish. But one good thing I liked the ambience. Need to improve loads on the taste part",0
"I went there for lunch with an high expectation but i was a little disappointed with the food quality. Veg food was good but for non veg buffet was little disappointing.
Restaurant had a nice ambience.
Till this all the experience was moreover ok but at the end when the payment part came they provided a bill without GST numbers.",0
"One of the best Chinese restaurants in Gachibowli -Hitech city area. Chilli paneer and chicken manchurian are great choices for starters. The momos are also good , huge and filling. The chilli garlic fried rice was flavourful but the Singapore noodles was just okish. We ended with fried ice cream and were totally satisfied by our choice.
Service is a little slow, this can be improved.",1
"Went this place for my friends birthday,although it was weekday so crowd won't be that loud. I found this place ok for chill out not much happening as well. We sat outside in open area which was good, also it was but chiller that day so moonsoon was really awesome. Now coming to food and other stuffs. As I am complete vegeterain one incident happened that day like we ordered two veg pizzas there and confimed the ordered twice to waiter..first pizza was correct and good but second pizza we told him to get it after some time.as.he served there was topping on pizza which was looking like carrot,but as I had some confusion with that thing,I closely looked and saw it was not veg , I told to re-confirm in kitchen so it came out to be non-veg it was pork or something like that. I was very dissapoint with the management and post that no came to feel sorry as well with wrong that giving on our plates. I was totally disappoint with instance giving low rating and also very bad experience. For other thing i ordered the food was good.",0
"This review has been long overdue and i have finally managed to get some time out to do so.

So 4 of us visited Mazzo on the 14th of Feb and chose the Veg & Non-Veg options accordingly from their menu, pre-decided. At 2500 INR plus taxes per head we expected the basics, quality service & excellent food.

Imagine our shock when we received exactly the opposite. 

1. The linen on the table we were seated at had cigarette holes in it. 
2. The livery was stained.
3. The restaurant hadn't set up yet even though it was 2130 hrs by the time we arrived.
4. Instead of being given comfortable seating, we were given plastic chairs with white wraps on them.
5. The Cream of Asparagus soup was like toilet water. So was the Avocado Chicken Corn Chowder Soup. They refused to give us extra croutons because we've already eaten too many. What else is one supposed to do when you are served such bad tasting soup?
6. The Bharwab Subz Kebab was dry like dried meat, the Grilled Buffalo Chicken was terrible smelling only - How to eat?, the Lamb Galouti was decent and the Vegetable Lumpia was oily and tiny. - All in All the appetizers were equally useless.
7. Moving onto the Main course now - For the Vegetarian Me, i was given a choice between the Anjeer Kesar Kofte and Spinach & Ricotta Ravioli. I obviously chose the latter D-uh. Big Mistake. When i asked the server why the ravioli was so dry, i was told that the halogen lamp made it so. Then why keep it under the lamp for so long? And the former you ask, it was so sweet, it was like drinking Chaasni - the sugar water from the Rasgulla or Gulab Jamun dabba.
8. Not like the Non-Vegetarians had it any better. 6 Hours Braised Lamb Shank OR Nalli Nihari OR Murgh Methi. 
Lamb - It was more bones than lamb and also, baby lamb Such a tiny piece that my husband had to eat another dinner after we got home.
Nalli Nihari - More like Nal ka Paani. No taste no Nihari.
Murgh Methi - WhyWhyWhy so many bones in a dosh which one assumes is boneless and that too in a 5 star hotel. Roti you ask? - Please DO NOT.
9. And last but not the least, Dessert.
Vanilla Bean Pannacotta - I make better Pannacotta and i just wanted to cry. The coulis was just sugar water with some red colouring.
Kesar Malai Kulfi - This was bought from Scoops. The server told us also. The only thing on the menu that tasted fantastic. Ate 4 and went home.",0
"Absolutely a perfect MicroSD Chip.4500 songs were transferred into it, effortlessly and I have  balance of about 50% of usable space.SanDisk is a synonym with all Engineers and I need not add any thing to glorify it.Thank you SanDisk thank you AMAZON.SincerelyKJ Kumar",1
works great for the price ad I use it for music and pictures. cant beat the quality and reliability of this brand,1
This restaurant provides good food only but I was not happy about that I had asked for double masala but they didn't gave me that food so was upset at that time,0
the dish was extremely oily. the tandoori roti was tasting sour (bad sour). seemed it was made from the spoiled dough,0
"I would have rated a big 0 or -1 here if I can. its team lunch outing with 40 members. I'm reviewing this keeping in mind that we paid 1500 per person
Food :
there is no welcome drink. Even an ordinary restaurant offers at least a grape juice.
Starters : cold, not fresh, tasteless and very hard to eat. VEG: potato, Baby corn. Non-Veg : chicken, Fish
not even a smell of Prawns or mutton in any corner out of whole menu.
main course : only 2 biryanis (veg n chicken). and just a paneer curry and chicken curry with some fancy namedesserts :
ice creams only strawberry n chocolate flavors which are semi solid n turns to liquid by the team you eat it.
no fruits other than papaya n water melon is very disappointing from a 5 star hotel
Ambience : only tables and chairs are provided. no clothes or spoons or tissues on the table. just like a road side dhaba.
Service : too slow and no up to the expectations",0
right on time,1
"The food was pretty standard and the service was good. Ambiance is quite good and the food is worth the price.
The only thing that annoyed me to the core was the DJ. The DJ played awful songs which honestly killed my mood.
Otherwise a good experience.",1
I had great respect for marriott hotel but i lost everythig when i went their in my special day valentines day! It was the most horrible experience !! The service is very bad and they were harsh with the customers ! I dint expect this from marriott hotel i dint think i will ever goto marriott again!!!,0
"Beware guys. i bought one of these from Superior Electronics Outlet and it arrived completly dead. i tried to format it on windows and on my galaxy s3 and no go.I tried everything that possible ....have been fighting with this card for 3 days now, and no success so far. No response from the seller about it.My last hope is amazon refund me. otherwise  i just wasted 80 U$",0
One of the best restaurants in gachibowli.. Goo quality.. Good quantity.. I spoke to chef vishal.. He was very good in providing the service.. Thank you.. Just one suggestion for zomato.. Why coupons codes are not available for this restaurant..?? Kindly provide offers for this restaurant..,1
Got dal chawal instead of dal makhni,0
"It's a memory card.  It's tiny, it works. I need ten more words to post this review. That is all.",1
Very simple to format and use.  Excellent storage.  Buy it along with a 3.0 compatible USB  microcard adapter for downloading to 3.0 capable computer.  Makes for very fast and hassle free transfer of your pictures.,1
"purchased in Florida so the price was just fab, the card is excellent and very fast with my Gopro hero 3 and an absolute must",1
Great price on the 64GB mircoSD card... my boyfriend has had it in his Galaxy note 2 for the past few months.. and I just got a note 2 and just bought another one for my phone!  :),1
"So on one of the weeknite i craved for momos.Most of the delivery points were closed except this.So thot to give it a try.Delivery was delayed and that made me lil upset.I ordered two things: Veg steamed momos and chicken steamed momos.

Veg steamed momos:The packaging was real bad and u cud see momos out of the silver foil box.The filling of the momo wasnt really pleasing and was not tasty enuf to swat my mood.The veggies seemed to be over burnt and they didnt smell good either.The schezwan chutney that they usually setve with momos was more lookinglike tomato ketchup and the quantity was so lil that it cud just suffice 1 momo.
Chichen steamed momo:All of the above applies though the chicken smelled as if it was day old.

Highly disappointing! 2stars just for the zomato valet!",0
"This is one of the poor Italian restaurants in Hyderabad. The first giveaway was the menu cards. They were all torn and faded. Few of them even had the spiral binding missing in places.
The chairs and table cloth evinced that the restaurant was not very well maintained.

Coming to the food, I can say that it was very disappointing. We had ordered -
•Chicken Wings
•Tangy Arrabita Pasta
•Farmer's Ortalano
•Tiramisu

▪︎The chicken wings were marketed as a spicy dish but the spice was no where to be felt. Also, the wings were glazed in two different sauces though they both tasted the same - Sweet and heavy.
▪︎The red sauce of the pasta was diluted .It was done to such an extent that the sauce was not willing stay with the penne pasta.
▪︎The pizza was the first relief, though it wasn't as it as some of the other restaurants. It was thin and it retained its shape.
▪︎The tiramisu was a disaster. The cream was spoilt and the whole desert tasted sour. We had to send it back.

Finally, the service. The service was one of the very few worthwhile experience.

All in all, I will not visit this restaurant again and a do not recommend it to anyone.",0
Not yet delivered to me..,0
"It's a fast card, reliable, and it offers tons more space for my Nook HD. Solid buy that you won't regret.",1
Pizza is good...nice staff...ambiance good but better to visit night time to see the beauty of lights...place is very quiet during day time.,1
Works great! My tablet loves it. I always buy SanDisk products and have never had a problem with any of them.,1
"Went to skyhy with great expectations but pathetic service and very bad food quality.wasted almost 1hr for food to arrive ,and they served the wrong item.

Very disappointed,will not prefer to return again",0
"Was super excited to try out the special Navratri Thali from Faasos. It had Kuttu Aata parathas, Paneer curry, Sabudana vada, and Sabudana Kheer. Honestly, my excitement dropped down after tasting the parathas, as they were too greasy. Paneer curry, on the other hand, was the savior, Vadas were fine and Kheer was up to the mark. What I liked about the thali was that it had more than enough food for 1 person. I am going with 2 stars as the parathas are the base of this thali and I couldn't finish even half of it. I have very high expectations from Fassos and am sure they will take this feedback well and improve on the quality of parathas.",0
"Heard a lot about this place and many suggested that it’s a must try. I finally tried this and it was a LIT. They have a very interesting a la carte menu with food from different cuisines.

The ambiance good and pretty much similar to any fine dining restaurant except wobbling chairs.

I found service quite quick and clean. Food was brought to table right on time. The quantity of the dishes served did justice to the term value for money.

Everything I tried were perfectly done and delivered.

Chicken Peking Style, Peri Peri Chicken breast, Fish and Chips, Crispy Veg Uramaki (Sushi).",1
"Had a great experience. Good place on wekend.
If you want to enjoy some awesome food, TFMK is the name.
Ambience of the place makes it a perfect choice to visit with family.",1
Ulavacharu is well known for its taste. But the service I received today was the worst and this is not the first time even after complaining to the manager about it he did not even apologize for it and moreover he delivered me mutton instead of chicken and when asked about it he was like this is chicken and he tried blaming me instead . The way they behaved was worst . Manager named veera babu was very rude too. He was not even responding whatever we ask he said I am the sole owner and no one is above me. Even after we paid the bill they behaved rude. I do not recommend going here..,0
"Worst food ever..... Very bad taste, i will give negative rating.. no dishes were properly made.very bad experience. Just name is big but no quality and taste Maintained",0
"went for A-LA-Carte here.. Heard a lot about this previously. went with full of excitement. I wanna rate this restaurant in 3 aspects. 1. Ambience: I should say it is just OK. they could have done it much better. Looks like they have spent a lot on establishment but no aww factor. 2.Taste: The food tastes good here. Almost every main course and starter were good except the dessert - Carrot Halwa and Mango Juice(Welcome Drink). They both didn't taste good. 3.Hospitality: The Hospitality is quite good. I was satisfied with the staff in the restaurant.

As a whole, I would recommend going here. You will love the food.",1
"I was little hesitant to order this initially but turned out to be an excellent Product,Did a initial test on CrystalDiskMark.Enjoying it on my ASUS TF101.The shipping was quick too.",1
Works as described.  I use it in my Samsung S5 and it was a plug and play.  Hope to have this phone until I am done with Cellphones they are getting to high priced.  everything was transfered from my old phone on to this and still have plenty of space left.,1
"Top class - By the Heart , from the Heart ... must visit for foodies , loads of varieties and spoilt for choices , great ambience and food served with loads of Love !",1
Been to this place and Wonderful place to hangout with friends. Food is amazing as usual.Got a great offer from little application and thoroughly satisfied,1
"So far has worked as expected, it's difficult to tell is it is going to fail or not soon but for the moment is working pretty well with a good performance.",1
I ordered a chicken biryani at a cost 120rs which is an affordable price to have food for one person. But in this restaurant immediately when the order came I am really frustrated to see the quantity and quality. First talking about quantity it doesn't satisfy the hunger of atleast one person and then talking about quality it was not served hot . Readily packed food and looks like as it was not cooked fresh may be cooked atleast a day before I guess. I suggest my friends and colleagues never select this restaurant and I'll never order from this restaurant. I am even wondered how come this restaurant get 2.6 rating which is too high. Waste of money and time going to this restaurant and ordering from this restaurant.,0
"Do you guys understand the meaning of half and full quantity while you deliver food? How it affects the situation during lunch when the food delivered is incomplete and cannot be eaten by two, this 1* is to ruin my personal experience with you guys. As even the zomato CS was pathetic to resolve it",0
"This is necessary because you need space storage in your phone, and with this microsd card i have 64GB its perfect",1
"I've had this card for over a year, and it has worked great as a backup storage source for our digital camcorder (1080p/60).  It seems to keep up just fine, and functions perfectly.The only (albeit minor) nit is that the microSDHC to SDHC adapter seems to not work in all card readers.  I'm not sure why, but it wasn't worth removing a star for that.",1
"The ambience is pretty decent. It is a moderate space to hangout with friend's in the evening. Good Food. Staff are so polite....
Over all it was good place to visit again",1
I put this in my GS3 and it works fine. Tons of storage and stuff still loads very quickly and transfers well.,1
"maggie is completely burnt. taste is worst. i didn like it at all. worst experience ever. will never order in maggie point.

worst maggie ever ate.",0
Had to give it 4 stars because when formatted it only provides 28GB.  Not as clean as I would have expected a SanDisk product to be.  Especially a Class 10 product.,1
Mandi seema lovely items. Should definitely try it. But item should be hot 🔥 to better its taste. Service in the restaurant were not that good for the family orientated people there will be late what ever you try,1
The best MicroSD card around for shooting with goPro black edition.Had enough memory to record all my dives and then some. in 1080 wide settings.Will get more of this lil Giant,1
The food was not good. The chicken pieces were stinking. also the bread was hard instead of being soft. please refund my money,0
Guys to be very frank the foods not good and the oil they used for cooking is not health eventhougj we can smell it in food ....wrost experience,0
I usually order from here. today biryani was 50% in quantity.,0
Very less chicken piecec in chiken biryani... Very spice its like red mirchi rice.. No flavour of biryani... Worst biryani ever... Very much unsatisfied,0
"This microSD card is perfect, I'm using this on my Sony DSC-TX200V Cyber-Shot and it works the camera took few second to format card and it was ready to stored pictures and video excellent. The costumer service they help me by replacing my card that broke by sending me a new one and it came super fast the card, I will definitely recommend this card and happy that the costumer service they answer me quick and they werer fast. I will definitely buy from this guys. Thanks...",1
"it's not good,earlier it was good ,but today food is not good",0
Chicken peaces in Egg biryani. No response from restauraunt end. Taste also very bad. Improve your service dont repeat this other customers.,0
Worst biryani. Shahghouse biryani is 100 times better than this biryani. Very Very less quantity. Price is very high.Worst biryani. Shahghouse biryani is 100 times better than this biryani. Very Very less quantity. Price is very high.Worst biryani. Shahghouse biryani is 100 times better than this biryani. Very Very less quantity. Price is very high.,0
"Great place to hangout. The blazing wings are really a must try, yeah it comes with a warning. But its absolutely worth it. Me and my friends are planning for a challenge with the blazing wings. The wings have a nice hot flavour, that will leave u wanting for more.",1
"I bought this for a friend of mine to put some videos on it.  Initially, when plugged into the computer, we couldn't find the storage in the directory.  However, after finding a micro sd to usb adapter...bingo!  Worked like a charm after that.  Install the videos, plugged the card in the phone, and we were off to the races.Not sure if we needed the adapter, but we couldn't get the computer to recognize it.  We also used a Linux O/S.  Go figure.",1
The thali I ordered is incomplete,0
"food is awesome, but delivered food after 1:30 hours late.when called and asked they replied, there are lot of orders.this is not fare.we waited almost 90mins for 20mins delivery",0
"Forget the 4 or 5 rating given for this restaurant. This place is crap. I will say except plating, nothing will please your appetite. Customer service, I will give -10. For 15 tables, it a single guy who was taking orders. In between all this, he is also the one who is at bill desk too. Believe me they didn't served water until we are forced to ask for.

Customer service - they don't deserve a rating for it.
Food - 1*",0
"The overall experience was good. Just one thing I particularly didn't like it and it was Tacos. Rest the order, the ambience was really good.",1
"We went for dinner based on this 4.0 rating it did not meet bare minimum criteria. Food was over spicey/hot even after mentioning the spice levels in first course. Service was very bad. They asked how the soup/paya was and when we mentioned that it is too spicey , that was not bothered and next course was even more spicey/hot. I generally am ok with hot/spicey food but this is very extreme. I would not recommend going to this place.",0
"Went there for lunch with friends, and not a good dining experience.
1.  Ambience - not like a Fine Dine restaurant - more a quick eatery / Cafeteria place
2.  Service  : Ok.  the person who took the order did promptly mention how much time a dish will take to be served, it is good to be prepared
3.  Food : OK to Pathetic.  we had some starters Paneer Tikka was good and other ones were ok and from my friends who had Tandoori Prawns their Opinion was not so good.  After the starters the Disaster came in the name of EGG Biriyani.  We had ordered for 2 Egg biriyani,  there was no Flavour, gravy or taste in that, it is just a coloured biriyani rice with Fried Boiled Eggs. See the Photo.  It didnt end here, we gave a feedback the Waiter promptly took the bowl back to get some masala in it, and came back and served with masala which was Chicken pieces. Two of us dont eat chicken or meat and it was served on our plates.  

We ended up not eating that second bowl of biriyani except for few spoonful, we were charged for that biriyani, after some discussion they reduced the  price of 1 biriyani from our bill.

Overall not a good experience and dont want to go there again.",0
"Visited this place today. Food is no doubt good but the service is awful. We had to wait more than 30 minutes for the food to be served, that too when we asked then they served. The staff was rude as well. Had to ask for every little thing. Even the basic services were very bad. Would suggest the owner to improve the staff and services.",0
"Very good service , went with my kids in Saturday night amazing experience , paneer was really up to the mark ... Service led by Mr tapan who served us was amazing ... Definitely worth another visit...",1
"Firstly this restaurant is very untidy and noisy. The ambiance was the worst and it is crowded and untidy place. So couples who want to have a good time please stay away.

However the food was ok. You can visit this restaurant once to just have a taste of the dishes. I still wonder why most people prefer t-grill despite all its negatives. 👎

Overall rating: 2/5 (just ok)
Taste of food: 3/5 (average)
Ambience and cleanliness: 1/5 (worst)
Service: 2.5/5 (below average)

Thank you 🙏 for reading. Please follow me so that you won’t miss my latest reviews.",0
